ex_id,name,category,difficulty_level,duration_sec,contraindications,gifUrl,bodyPart,secondaryMuscles,instructions
1,3/4 sit-up,근력,1,20,abs,https://v2.exercisedb.io/image/MOnK4iG0MEt9h8,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
2,45° side bend,근력,2,20,abs,https://v2.exercisedb.io/image/PERWLDGUxVbpHS,waist,,"Stand with your feet shoulder-width apart and your arms extended straight down by your sides. Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. Pause for a moment at the bottom, then slowly return to the starting position. Repeat on the other side. Continue alternating sides for the desired number of repetitions."
3,air bike,근력,1,20,abs,https://v2.exercisedb.io/image/PLr4yo3j-f1amp,waist,,"Lie flat on your back with your hands placed behind your head. Lift your legs off the ground and bend your knees at a 90-degree angle. Bring your right elbow towards your left knee while simultaneously straightening your right leg. Return to the starting position and repeat the movement on the opposite side, bringing your left elbow towards your right knee while straightening your left leg. Continue alternating sides in a pedaling motion for the desired number of repetitions."
4,all fours squad stretch,스트레칭,1,20,quads,https://v2.exercisedb.io/image/XPQwM7HECjgNFE,upper legs,,"Start on all fours with your hands directly under your shoulders and your knees directly under your hips. Extend one leg straight back, keeping your knee bent and your foot flexed. Slowly lower your hips towards the ground, feeling a stretch in your quads. Hold this position for 20-30 seconds. Switch legs and repeat the stretch on the other side."
5,alternate heel touchers,근력,1,20,abs,https://v2.exercisedb.io/image/5nYph4eUGNiEdf,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms straight out to the sides, parallel to the ground. Engaging your abs, lift your shoulders off the ground and reach your right hand towards your right heel. Return to the starting position and repeat on the left side, reaching your left hand towards your left heel. Continue alternating sides for the desired number of repetitions."
6,ankle circles,근력,2,20,calves,https://v2.exercisedb.io/image/ivmTcSJsMlXJeK,lower legs,,"Sit on the ground with your legs extended in front of you. Lift one leg off the ground and rotate your ankle in a circular motion. Perform the desired number of circles in one direction, then switch to the other direction. Repeat with the other leg."
7,archer pull up,근력,3,20,lats,https://v2.exercisedb.io/image/LSBkdKcbK4xj8n,back,,"Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Engage your core and pull your shoulder blades down and back. As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. Continue pulling until your chin is above the bar and your bent arm is fully flexed. Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. Alternate sides with each repetition."
8,archer push up,근력,2,20,pectorals,https://v2.exercisedb.io/image/GSjHZGSiL1VbQ7,chest,,"Start in a push-up position with your hands slightly wider than shoulder-width apart. Extend one arm straight out to the side, parallel to the ground. Lower your body by bending your elbows, keeping your back straight and core engaged. Push back up to the starting position. Repeat on the other side, extending the opposite arm out to the side. Continue alternating sides for the desired number of repetitions."
9,arm slingers hanging bent knee legs,근력,3,20,abs,https://v2.exercisedb.io/image/osybi41Me6RFK2,waist,,"Hang from a pull-up bar with your arms fully extended and your knees bent at a 90-degree angle. Engage your core and lift your knees towards your chest, bringing them as close to your elbows as possible. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
10,arm slingers hanging straight legs,근력,3,20,abs,https://v2.exercisedb.io/image/yzS2EjySGDLmhh,waist,,"Hang from a pull-up bar with your arms fully extended and your legs straight down. Engage your core and lift your legs up in front of you until they are parallel to the ground. Hold for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
11,arms apart circular toe touch (male),근력,2,20,glutes,https://v2.exercisedb.io/image/sGs-MoFgyniLX4,upper legs,,"Stand with your feet shoulder-width apart and arms extended to the sides. Keeping your legs straight, bend forward at the waist and reach down towards your toes with your right hand. As you reach down, simultaneously lift your left leg straight up behind you, maintaining balance. Return to the starting position and repeat the movement with your left hand reaching towards your toes and your right leg lifting up behind you. Continue alternating sides for the desired number of repetitions."
12,arms overhead full sit-up (male),근력,1,20,abs,https://v2.exercisedb.io/image/WzINsIEOqFbBXG,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms overhead, keeping them straight. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is upright. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
13,astride jumps (male),유산소,3,20,cardiovascular system,https://v2.exercisedb.io/image/GzvxMK5EkJ6H43,cardio,,"Stand with your feet shoulder-width apart. Bend your knees and lower your body into a squat position. Jump explosively upwards, extending your legs and arms. While in the air, spread your legs apart and bring your arms out to the sides. Land softly with your feet shoulder-width apart, bending your knees to absorb the impact. Repeat for the desired number of repetitions."
14,back and forth step,근력,2,20,cardiovascular system,https://v2.exercisedb.io/image/akGmnMj1gqgJU3,cardio,,"Stand with your feet shoulder-width apart. Step forward with your right foot, bending your knee and lowering your body into a lunge position. Push off with your right foot and step back to the starting position. Repeat the movement with your left foot, alternating legs with each step. Continue stepping back and forth, maintaining a steady pace. Repeat for the desired duration or number of repetitions."
15,back lever,근력,3,20,upper back,https://v2.exercisedb.io/image/tbNQwmPPyh4Eds,back,,"Start by hanging from a pull-up bar with an overhand grip, hands slightly wider than shoulder-width apart. Engage your core and pull your shoulder blades down and back. Bend your knees and tuck them towards your chest. Slowly lift your legs up, keeping them straight, until your body is parallel to the ground. Hold this position for a few seconds, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
16,back pec stretch,스트레칭,1,20,lats,https://v2.exercisedb.io/image/RWvKeWqoM6lpAb,back,,"Stand tall with your feet shoulder-width apart. Extend your arms straight out in front of you, parallel to the ground. Cross your arms in front of your body, with your right arm over your left arm. Interlock your fingers and rotate your palms away from your body. Slowly raise your arms up and away from your body, feeling a stretch in your back and chest. Hold the stretch for 15-30 seconds, then release. Repeat on the opposite side."
17,backward jump,유산소,3,20,quads,https://v2.exercisedb.io/image/HHJUonCfKdoEpz,upper legs,,"Stand with your feet shoulder-width apart. Bend your knees slightly and jump backwards, pushing off with both feet. Land softly on the balls of your feet, bending your knees to absorb the impact. Repeat for the desired number of repetitions."
